amount,transaction_type,payment_method,account_age,failed_transactions,is_fraud
95950.08,Online Purchase,UPI,1004,3,1
15464.03,Online Purchase,Net Banking,131,0,0
34975.87,Online Purchase,Debit Card,2233,6,1
88430.93,Online Purchase,Debit Card,1732,5,1
32375.53,Bill Payment,Credit Card,380,6,1
127139.41,Bill Payment,Credit Card,1882,8,1
138352.08,Online Purchase,UPI,1482,9,1
10526.32,Money Transfer,UPI,327,3,0
57080.92,Cash Withdrawal,UPI,667,5,1
100559.26,Online Purchase,Debit Card,2188,3,1
56980.37,Money Transfer,UPI,230,3,0
120776.37,Cash Withdrawal,UPI,272,3,0
85120.29,Bill Payment,Debit Card,2045,6,0
96463.5,Money Transfer,UPI,572,3,0
80892.7,Cash Withdrawal,Net Banking,1483,3,0
20835.93,Cash Withdrawal,Credit Card,193,1,0
24081.3,Cash Withdrawal,Credit Card,1577,6,0
70260.68,Bill Payment,Credit Card,470,10,0
112656.58,Bill Payment,Credit Card,1203,6,1
586.47,Bill Payment,Debit Card,2080,1,0
44836.87,Money Transfer,Debit Card,1532,2,0
116816.11,Online Purchase,UPI,2002,0,1
54510.82,Bill Payment,Debit Card,238,3,0
142047.72,Online Purchase,Net Banking,284,8,1
19345.88,Cash Withdrawal,Debit Card,1086,8,0
63528.38,Money Transfer,Debit Card,1277,6,0
97516.72,Cash Withdrawal,Net Banking,496,3,1
50779.03,Money Transfer,Debit Card,30,1,0
8925.18,Online Purchase,Credit Card,1354,1,0
41843.74,Cash Withdrawal,Debit Card,2209,2,0
132369.22,Cash Withdrawal,Debit Card,1938,6,1
14629.93,Cash Withdrawal,UPI,1735,6,0
109388.47,Online Purchase,Credit Card,1650,5,0
16479.43,Money Transfer,Debit Card,2197,7,1
27604.86,Cash Withdrawal,Debit Card,309,7,0
128409.44,Online Purchase,Credit Card,2215,0,0
138962.41,Money Transfer,Debit Card,1665,7,1
129711.09,Online Purchase,Debit Card,1553,0,0
39853.94,Cash Withdrawal,UPI,1733,8,0
73052.04,Money Transfer,UPI,892,0,0
81375.06,Bill Payment,Credit Card,206,9,1
137916.13,Money Transfer,Credit Card,2081,1,0
10371.35,Online Purchase,Debit Card,1654,1,0
85494.34,Online Purchase,Credit Card,1718,10,1
78465.13,Bill Payment,Debit Card,1287,3,0
19718.65,Bill Payment,Net Banking,1296,1,1
93211.77,Online Purchase,Credit Card,2203,3,0
19955.24,Bill Payment,Credit Card,1001,5,0
65783.87,Bill Payment,Credit Card,2272,4,0
15627.62,Money Transfer,UPI,473,1,0
23401.64,Bill Payment,Debit Card,1405,3,0
127951.63,Cash Withdrawal,UPI,209,1,0
124419.28,Online Purchase,Credit Card,1367,2,0
39367.09,Cash Withdrawal,Net Banking,2298,0,0
141763.14,Money Transfer,Credit Card,1513,9,1
64525.03,Online Purchase,UPI,1494,0,0
31590.47,Money Transfer,Credit Card,1449,8,0
61015.97,Money Transfer,Debit Card,666,2,0
3815.48,Bill Payment,Net Banking,1017,4,1
105221.6,Cash Withdrawal,Credit Card,1928,3,1
137775.94,Bill Payment,UPI,933,3,1
29050.16,Bill Payment,UPI,285,4,0
76459.91,Bill Payment,Credit Card,473,4,1
144383.89,Bill Payment,Credit Card,445,9,1
109308.9,Bill Payment,Net Banking,2484,8,1
134935.76,Money Transfer,UPI,182,6,1
138843.72,Money Transfer,UPI,1767,1,0
138123.55,Bill Payment,Credit Card,1231,8,1
61318.1,Cash Withdrawal,UPI,2271,2,1
99772.92,Cash Withdrawal,Debit Card,2332,4,1
125075.4,Bill Payment,UPI,861,6,0
91038.57,Bill Payment,Net Banking,1810,7,0
76724.98,Money Transfer,Credit Card,1163,8,1
92927.19,Online Purchase,Debit Card,1272,3,0
22188.36,Online Purchase,Debit Card,1947,9,0
11016.95,Cash Withdrawal,Debit Card,1573,7,0
22220.94,Online Purchase,Credit Card,1742,3,0
143699.11,Cash Withdrawal,Credit Card,2284,3,0
18291.65,Money Transfer,Net Banking,2176,8,0
142510.94,Cash Withdrawal,Net Banking,2245,7,0
111573.95,Cash Withdrawal,Net Banking,1062,3,0
41668.97,Cash Withdrawal,Debit Card,1125,7,1
42930.65,Bill Payment,UPI,1310,8,1
22709.52,Cash Withdrawal,Debit Card,877,1,0
49699.12,Cash Withdrawal,Net Banking,256,3,0
58482.57,Online Purchase,Net Banking,1954,0,0
44862.04,Cash Withdrawal,Net Banking,2205,8,0
134681.92,Cash Withdrawal,Debit Card,1118,6,1
58389.69,Cash Withdrawal,Debit Card,1915,2,0
80165.13,Cash Withdrawal,Credit Card,344,10,1
130041.02,Money Transfer,Credit Card,1066,6,1
68259.43,Bill Payment,Net Banking,1140,6,1
12377.74,Online Purchase,Credit Card,1434,3,0
117206.83,Online Purchase,Credit Card,1013,3,0
93238.21,Money Transfer,Debit Card,1940,10,1
142168.78,Cash Withdrawal,UPI,1511,2,0
144563.84,Online Purchase,Debit Card,1275,1,0
139340.19,Cash Withdrawal,Net Banking,813,1,0
124602.69,Money Transfer,Credit Card,1236,10,1
18246.15,Online Purchase,UPI,2183,6,0
10436.61,Bill Payment,Credit Card,1721,7,1
144122.06,Cash Withdrawal,Debit Card,1784,2,0
144824.51,Bill Payment,Net Banking,1905,6,0
88911.95,Bill Payment,Debit Card,355,4,0
36655.13,Cash Withdrawal,Net Banking,1378,0,0
48819.62,Cash Withdrawal,Debit Card,1454,4,0
132059.96,Bill Payment,Credit Card,2117,3,1
108039.19,Cash Withdrawal,Debit Card,1951,10,1
67281.36,Online Purchase,Credit Card,1206,3,0
36571.44,Bill Payment,Net Banking,2268,8,1
149495.06,Bill Payment,UPI,1859,4,1
34657.65,Money Transfer,UPI,490,8,0
103555.52,Money Transfer,Debit Card,1984,4,0
146493.39,Bill Payment,Credit Card,796,4,1
26998.29,Online Purchase,Debit Card,1124,0,0
83048.51,Money Transfer,Net Banking,421,0,0
70462.6,Cash Withdrawal,UPI,756,0,0
129272.27,Online Purchase,Credit Card,1642,7,1
94453.91,Online Purchase,Debit Card,612,9,0
12868.62,Money Transfer,Credit Card,2286,6,0
118632.05,Money Transfer,Net Banking,1846,7,1
88319.92,Cash Withdrawal,UPI,2330,9,1
144020.31,Online Purchase,Debit Card,865,4,0
23642.86,Money Transfer,Credit Card,642,0,0
103436.73,Cash Withdrawal,UPI,134,3,1
42479.48,Cash Withdrawal,Credit Card,957,4,0
93796.2,Money Transfer,Net Banking,471,8,1
22433.51,Bill Payment,Debit Card,293,0,0
46211.01,Bill Payment,Net Banking,510,7,0
104990.08,Bill Payment,Net Banking,1794,1,0
133424.49,Bill Payment,UPI,106,1,1
101177.33,Online Purchase,UPI,2361,0,0
26361.09,Cash Withdrawal,UPI,744,9,0
122155.32,Online Purchase,Net Banking,1426,6,1
100553.01,Money Transfer,UPI,1687,7,1
141784.51,Online Purchase,Net Banking,361,5,1
17476.65,Cash Withdrawal,Credit Card,2223,7,0
28218.62,Bill Payment,Net Banking,1811,0,0
82428.02,Bill Payment,Net Banking,1986,1,1
94540.34,Money Transfer,Debit Card,1273,8,1
61257.8,Money Transfer,Credit Card,1891,1,0
23180.27,Bill Payment,UPI,1702,7,0
36635.26,Money Transfer,Net Banking,781,9,0
131911.01,Online Purchase,UPI,1700,5,0
76209.88,Online Purchase,UPI,1223,9,1
99025.12,Money Transfer,Net Banking,2207,7,1
82832.42,Cash Withdrawal,Net Banking,1319,3,0
35896.95,Cash Withdrawal,Debit Card,1683,0,0
70999.14,Cash Withdrawal,Net Banking,624,7,0
19024.32,Bill Payment,Credit Card,1804,1,0
68593.52,Money Transfer,Net Banking,633,1,0
145383.62,Bill Payment,Net Banking,329,5,0
128915.39,Cash Withdrawal,UPI,1999,8,1
10356.27,Bill Payment,Debit Card,371,6,0
114079.42,Online Purchase,Net Banking,682,4,0
6994.05,Online Purchase,UPI,1469,5,0
36705.2,Cash Withdrawal,Debit Card,697,2,0
130638.86,Money Transfer,Net Banking,2389,2,1
95721.9,Cash Withdrawal,UPI,39,7,0
101673.87,Money Transfer,Credit Card,1810,5,0
44943.22,Cash Withdrawal,UPI,1872,4,1
57765.52,Cash Withdrawal,Credit Card,972,6,0
86264.31,Bill Payment,Credit Card,1622,4,1
129773.6,Online Purchase,Net Banking,1173,3,0
52912.91,Money Transfer,UPI,561,10,1
94155.97,Online Purchase,UPI,1806,0,0
109880.73,Online Purchase,UPI,1339,6,1
19910.75,Bill Payment,UPI,674,4,0
141633.75,Bill Payment,UPI,472,7,0
21199.48,Money Transfer,Net Banking,2283,5,1
59246.73,Bill Payment,Credit Card,1863,5,0
100883.89,Cash Withdrawal,UPI,444,10,1
3851.19,Bill Payment,Debit Card,259,10,0
136417.21,Bill Payment,Net Banking,478,2,1
5678.1,Cash Withdrawal,Credit Card,399,3,0
20436.04,Cash Withdrawal,UPI,2213,6,0
109017.21,Cash Withdrawal,Credit Card,2005,9,1
142733.08,Online Purchase,UPI,890,7,1
35493.28,Bill Payment,Credit Card,1505,8,0
96759.54,Online Purchase,Net Banking,1131,3,0
142356.72,Cash Withdrawal,Credit Card,869,10,1
145666.89,Online Purchase,UPI,998,2,0
30860.32,Money Transfer,Debit Card,955,5,0
118317.7,Online Purchase,UPI,593,2,0
119797.22,Online Purchase,Credit Card,540,0,1
118285.89,Bill Payment,Credit Card,714,4,1
111283.54,Online Purchase,Credit Card,1951,7,0
77034.37,Online Purchase,Net Banking,2064,3,0
6600.42,Bill Payment,Net Banking,128,0,0
127110.05,Cash Withdrawal,Credit Card,2009,7,1
